"filename", "language", "JavaScript", "Dart", "comment", "blank", "total"
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\pedidos\orders_service.dart", "Dart", 0, 299, 31, 55, 385
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\pedidos\popular_dishes_service.dart", "Dart", 0, 16, 7, 3, 26
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\user_service.dart", "Dart", 0, 22, -2, 0, 20
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\AdminHomeScreen.dart", "Dart", 0, 8, 3, 1, 12
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\PopularDishesScreen.dart", "Dart", 0, 24, -2, -3, 19
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\ReportsScreen.dart", "Dart", 0, 240, 34, 22, 296
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\Users\AdminUsersScreen.dart", "Dart", 0, 296, 11, 8, 315
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Auth_Screens\auth_modals.dart", "Dart", 0, 23, 4, 5, 32
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Cook_Screens\ActiveOrdersScreen.dart", "Dart", 0, -202, -5, -7, -214
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Cook_Screens\CookHomeScreen.dart", "Dart", 0, 36, -1, 1, 36
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Cook_Screens\CookProfileScreen.dart", "Dart", 0, 13, -1, 3, 15
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Cook_Screens\OrderHistoryScreen.dart", "Dart", 0, 3, 0, 0, 3
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\custom_bottom_navigation_bar.dart", "Dart", 0, 308, 12, 18, 338
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\date_filter_bar.dart", "Dart", 0, 8, 3, 2, 13
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\order_detail_card.dart", "Dart", 0, 94, 5, 6, 105
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\shared_order_history_screen.dart", "Dart", 0, 174, 3, 1, 178
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\login_register.js", "JavaScript", 45, 0, 5, 10, 60
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\pedidos.js", "JavaScript", 411, 0, 46, 49, 506
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\servidor.js", "JavaScript", 56, 0, 6, 10, 72
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\user.js", "JavaScript", -6, 0, 2, 0, -4
"Total", "-", 506, 1362, 161, 184, 2213
