"filename", "language", "CMake", "YAML", "JavaScript", "Swift", "Dart", "XML", "Markdown", "comment", "blank", "total"
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, -72, 0, -29, -101
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\cart_service.dart", "Dart", 0, 0, 0, 0, 569, 0, 0, 141, 128, 838
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\gemini_service.dart", "Dart", 0, 0, 0, 0, 490, 0, 0, 98, 112, 700
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\menu\get_dishes_service.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 2, 0, 13
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\menu\get_drinks_service.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 1, 3, 34
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\menu\menu_service.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 1, 1, 12
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\pedidos\orders_service.dart", "Dart", 0, 0, 0, 0, 627, 0, 0, 53, 91, 771
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\pedidos\popular_dishes_service.dart", "Dart", 0, 0, 0, 0, -15, 0, 0, -6, -9, -30
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\AdminChatScreen.dart", "Dart", 0, 0, 0, 0, -735, 0, 0, -46, -58, -839
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\AdminOrdersScreen.dart", "Dart", 0, 0, 0, 0, 480, 0, 0, -10, 32, 502
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\OrderHistoryScreen.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\PopularDishesScreen.dart", "Dart", 0, 0, 0, 0, 35, 0, 0, 3, 5, 43
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\ReportsScreen.dart", "Dart", 0, 0, 0, 0, 1374, 0, 0, 38, 68, 1480
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\add_dish_modal.dart", "Dart", 0, 0, 0, 0, 49, 0, 0, 8, 7, 64
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\menu_screen.dart", "Dart", 0, 0, 0, 0, -467, 0, 0, -12, -35, -514
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Barista_Screens\BaristaActiveOrdersScreen.dart", "Dart", 0, 0, 0, 0, -279, 0, 0, -18, -16, -313
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Barista_Screens\BaristaHomeScreen.dart", "Dart", 0, 0, 0, 0, -284, 0, 0, -12, -27, -323
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Barista_Screens\BaristaOrderHistoryScreen.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Barista_Screens\BaristaProfileScreen.dart", "Dart", 0, 0, 0, 0, -289, 0, 0, -9, -25, -323
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Client_Screens\CartScreen.dart", "Dart", 0, 0, 0, 0, 505, 0, 0, 94, 84, 683
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Client_Screens\ChatScreen.dart", "Dart", 0, 0, 0, 0, -1371, 0, 0, -156, -193, -1720
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Client_Screens\ClientMenuScreen.dart", "Dart", 0, 0, 0, 0, -268, 0, 0, -23, -25, -316
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Cook_Screens\ActiveOrdersScreen.dart", "Dart", 0, 0, 0, 0, -109, 0, 0, -13, -12, -134
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Cook_Screens\CookHomeScreen.dart", "Dart", 0, 0, 0, 0, -218, 0, 0, -10, -20, -248
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Cook_Screens\CookProfileScreen.dart", "Dart", 0, 0, 0, 0, -302, 0, 0, -8, -28, -338
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Shared\shared_active_orders_screen.dart", "Dart", 0, 0, 0, 0, 117, 0, 0, 3, 11, 131
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Shared\shared_chat_screen.dart", "Dart", 0, 0, 0, 0, 687, 0, 0, 92, 107, 886
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Shared\shared_home_screen.dart", "Dart", 0, 0, 0, 0, 394, 0, 0, 22, 41, 457
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Shared\shared_order_history_screen.dart", "Dart", 0, 0, 0, 0, 1285, 0, 0, 60, 115, 1460
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Shared\shared_profile_screen.dart", "Dart", 0, 0, 0, 0, 375, 0, 0, 23, 44, 442
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\ThreeDotsLoading.dart", "Dart", 0, 0, 0, 0, 95, 0, 0, 9, 17, 121
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\custom_bottom_navigation_bar.dart", "Dart", 0, 0, 0, 0, 226, 0, 0, 79, 71, 376
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\date_filter_bar.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 4, 4, 35
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\dish_card.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 2, 1, 12
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\logout_button.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 7, 7, 54
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\menu_view.dart", "Dart", 0, 0, 0, 0, 622, 0, 0, 49, 57, 728
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\order_detail_card.dart", "Dart", 0, 0, 0, 0, 1016, 0, 0, 74, 91, 1181
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\routes.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 1, 1, 16
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\shared_order_history_screen.dart", "Dart", 0, 0, 0, 0, -1284, 0, 0, -60, -115, -1459
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\models\chat_message.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 19
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\services\cart_event_bus.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 8, 11, 52
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\services\order_status_service.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 7, 6, 30
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\services\user_preferences_service.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 4, 8, 49
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\linux\CMakeLists.txt", "CMake", 104, 0, 0, 0, 0, 0, 0, 0, 25, 129
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\linux\flutter\CMakeLists.txt", "CMake", 79, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\linux\flutter\generated_plugins.cmake", "CMake", 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\linux\runner\CMakeLists.txt", "CMake", 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\pubspec.yaml", "YAML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\constants.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 3, 3, 20
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\db.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 1, 6
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\pedidos.js", "JavaScript", 0, 0, -141, 0, 0, 0, 0, -20, -12, -173
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\servidor.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 3, 6, 37
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\CMakeLists.txt", "CMake", 89, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\flutter\CMakeLists.txt", "CMake", 98, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\flutter\generated_plugins.cmake", "CMake", 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\CMakeLists.txt", "CMake", 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"Total", "-", 466, 5, -95, 2, 3576, 2, -72, 487, 621, 4992
