"filename", "language", "C++", "CMake", "Markdown", "YAML", "JavaScript", "JSON", "MS SQL", "XML", "Swift", "Dart", "comment", "blank", "total"
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\ANDROID_SDK_FIX.md", "Markdown", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 45, 170
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\AUDIO_CHAT_BUBBLE_IMPLEMENTATION.md", "Markdown", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 36, 156
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\AUDIO_ERROR_FIXES.md", "Markdown", 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 46, 234
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\AUDIO_FEATURE_README.md", "Markdown", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 32, 118
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\AUDIO_SERVICE_SINGLETON_FIX.md", "Markdown", 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 48, 227
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\AUDIO_SUBSTRING_ERROR_FIX.md", "Markdown", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 31, 110
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\AUDIO_VOLUME_IMPROVEMENTS.md", "Markdown", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 37, 161
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\CORRECCION_FILTROS_USUARIOS.md", "Markdown", 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 62, 342
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\GEMINI_AUDIO_PROCESSING.md", "Markdown", 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 44, 211
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\MEJORAS_SCROLL_MENU.md", "Markdown", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 22, 109
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\MEJORAS_SCROLL_USUARIOS.md", "Markdown", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 22, 113
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\OPTIMIZACION_SISTEMA_PLATOS_POPULARES.md", "Markdown", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 32, 191
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\RESUMEN_CORRECCION_AUDIO_SINGLETON.md", "Markdown", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 24, 98
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\RESUMEN_FINAL_AUDIO_FIXES.md", "Markdown", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 42, 207
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\RESUMEN_FINAL_CORRECCION_JSON_MALFORMADO.md", "Markdown", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 39, 151
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\RESUMEN_FINAL_MEJORAS_AUDIO_COMPLETO.md", "Markdown", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 48, 240
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\RESUMEN_MEJORAS_AUDIO.md", "Markdown", 0, 0, 321, 0, 0, 0, 0, 0, 0, 0, 0, 87, 408
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\RESUMEN_OPTIMIZACION_FLUJO_AUDIO.md", "Markdown", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 54, 229
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\RESUMEN_SISTEMA_PERMISOS_USUARIOS.md", "Markdown", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 45, 171
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\SPEECH_TO_TEXT_CRITICAL_ERROR_FIX.md", "Markdown", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 34, 184
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\SPEECH_TO_TEXT_CRITICAL_FIX.md", "Markdown", 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 37, 188
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\SPEECH_TO_TEXT_FINAL_IMPROVEMENTS.md", "Markdown", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 35, 167
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\SPEECH_TO_TEXT_IMPROVEMENTS.md", "Markdown", 0, 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 50, 275
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\SPEECH_TO_TEXT_TIMEOUT_FIX.md", "Markdown", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 34, 190
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 5
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\docs\DATABASE_STRUCTURE.md", "Markdown", 0, 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 62, 287
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\docs\PRICE_OPTIMIZATION_SUMMARY.md", "Markdown", 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 60, 263
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\docs\README.md", "Markdown", 0, 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 72, 315
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\docs\SOFT_DELETE_IMPLEMENTATION_SUMMARY.md", "Markdown", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 54, 211
