"filename", "language", "CMake", "Gradle", "Java Properties", "C++", "Markdown", "YAML", "JSON", "JavaScript", "HTML", "XML", "MS SQL", "Swift", "Dart", "comment", "blank", "total"
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\ANDROID_SDK_FIX.md", "Markdown", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 170
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\AUDIO_CHAT_BUBBLE_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 156
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\AUDIO_ERROR_FIXES.md", "Markdown", 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 234
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\AUDIO_FEATURE_README.md", "Markdown", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 118
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\AUDIO_SERVICE_SINGLETON_FIX.md", "Markdown", 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 227
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\AUDIO_SUBSTRING_ERROR_FIX.md", "Markdown", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 110
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\AUDIO_VOLUME_IMPROVEMENTS.md", "Markdown", 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 161
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\CORRECCION_FILTROS_USUARIOS.md", "Markdown", 0, 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 342
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\GEMINI_AUDIO_PROCESSING.md", "Markdown", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 211
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\MEJORAS_SCROLL_MENU.md", "Markdown", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 109
